,period,stateDescription,sectorName,price,price-units
858,2023-08,New York,residential,22.26,cents per kilowatt-hour
859,2023-08,New York,transportation,16.34,cents per kilowatt-hour
862,2023-08,North Carolina,industrial,7.33,cents per kilowatt-hour
864,2023-08,North Carolina,residential,12.7,cents per kilowatt-hour
865,2023-08,North Carolina,transportation,9.43,cents per kilowatt-hour
868,2023-06,Delaware,residential,15.99,cents per kilowatt-hour
869,2023-06,Delaware,transportation,0.0,cents per kilowatt-hour
872,2023-06,District of Columbia,industrial,10.74,cents per kilowatt-hour
874,2023-06,District of Columbia,residential,16.55,cents per kilowatt-hour
875,2023-06,District of Columbia,transportation,9.04,cents per kilowatt-hour
878,2023-06,Florida,industrial,9.12,cents per kilowatt-hour
880,2023-06,Florida,residential,15.23,cents per kilowatt-hour
881,2023-06,Florida,transportation,11.27,cents per kilowatt-hour
884,2023-06,Georgia,industrial,6.9,cents per kilowatt-hour
886,2023-06,Georgia,residential,14.59,cents per kilowatt-hour
887,2023-06,Georgia,transportation,7.57,cents per kilowatt-hour
890,2023-06,Hawaii,industrial,33.53,cents per kilowatt-hour
892,2023-06,Hawaii,residential,41.74,cents per kilowatt-hour
893,2023-06,Hawaii,transportation,0.0,cents per kilowatt-hour
896,2023-06,Idaho,industrial,8.6,cents per kilowatt-hour
898,2023-06,Idaho,residential,11.71,cents per kilowatt-hour
899,2023-06,Idaho,transportation,0.0,cents per kilowatt-hour
902,2023-06,Illinois,industrial,8.23,cents per kilowatt-hour
904,2023-06,Illinois,residential,15.08,cents per kilowatt-hour
905,2023-06,Illinois,transportation,7.14,cents per kilowatt-hour
908,2023-06,Indiana,industrial,7.57,cents per kilowatt-hour
910,2023-06,Indiana,residential,14.67,cents per kilowatt-hour
911,2023-06,Indiana,transportation,11.56,cents per kilowatt-hour
914,2023-06,Iowa,industrial,8.79,cents per kilowatt-hour
916,2023-06,Iowa,residential,15.11,cents per kilowatt-hour
917,2023-06,Iowa,transportation,0.0,cents per kilowatt-hour
920,2023-06,Kansas,industrial,7.64,cents per kilowatt-hour
922,2023-06,Kansas,residential,13.33,cents per kilowatt-hour
923,2023-06,Kansas,transportation,0.0,cents per kilowatt-hour
926,2023-06,Kentucky,industrial,6.26,cents per kilowatt-hour
928,2023-06,Kentucky,residential,12.65,cents per kilowatt-hour
929,2023-06,Kentucky,transportation,0.0,cents per kilowatt-hour
932,2023-08,North Dakota,industrial,7.39,cents per kilowatt-hour
934,2023-08,North Dakota,residential,12.55,cents per kilowatt-hour
935,2023-08,North Dakota,transportation,0.0,cents per kilowatt-hour
938,2023-08,Ohio,industrial,6.93,cents per kilowatt-hour
940,2023-08,Ohio,residential,15.63,cents per kilowatt-hour
941,2023-08,Ohio,transportation,6.34,cents per kilowatt-hour
944,2023-08,Oklahoma,industrial,6.97,cents per kilowatt-hour
946,2023-08,Oklahoma,residential,13.1,cents per kilowatt-hour
947,2023-08,Oklahoma,transportation,0.0,cents per kilowatt-hour
950,2023-08,Oregon,industrial,7.66,cents per kilowatt-hour
952,2023-08,Oregon,residential,13.02,cents per kilowatt-hour
953,2023-08,Oregon,transportation,11.4,cents per kilowatt-hour
956,2023-08,Pennsylvania,industrial,7.54,cents per kilowatt-hour
958,2023-08,Pennsylvania,residential,17.89,cents per kilowatt-hour
959,2023-08,Pennsylvania,transportation,11.02,cents per kilowatt-hour
962,2023-08,Rhode Island,industrial,18.51,cents per kilowatt-hour
964,2023-08,Rhode Island,residential,25.54,cents per kilowatt-hour
965,2023-08,Rhode Island,transportation,16.75,cents per kilowatt-hour
968,2023-08,South Carolina,industrial,6.99,cents per kilowatt-hour
970,2023-08,South Carolina,residential,13.41,cents per kilowatt-hour
971,2023-08,South Carolina,transportation,0.0,cents per kilowatt-hour
973,2023-10,Virginia,transportation,9.98,cents per kilowatt-hour
976,2023-10,Washington,industrial,6.53,cents per kilowatt-hour
978,2023-10,Washington,residential,11.33,cents per kilowatt-hour
979,2023-10,Washington,transportation,10.12,cents per kilowatt-hour
982,2023-10,West Virginia,industrial,7.48,cents per kilowatt-hour
984,2023-10,West Virginia,residential,15.05,cents per kilowatt-hour
985,2023-10,West Virginia,transportation,0.0,cents per kilowatt-hour
988,2023-10,Wisconsin,industrial,8.42,cents per kilowatt-hour
990,2023-10,Wisconsin,residential,17.14,cents per kilowatt-hour
991,2023-10,Wisconsin,transportation,21.34,cents per kilowatt-hour
994,2023-06,Louisiana,industrial,5.4,cents per kilowatt-hour
996,2023-06,Louisiana,residential,11.25,cents per kilowatt-hour
997,2023-06,Louisiana,transportation,11.28,cents per kilowatt-hour
1000,2023-12,Arizona,industrial,7.86,cents per kilowatt-hour
1002,2023-12,Arizona,residential,14.42,cents per kilowatt-hour
1003,2023-12,Arizona,transportation,9.63,cents per kilowatt-hour
1006,2023-12,Arkansas,industrial,6.33,cents per kilowatt-hour
1008,2023-12,Arkansas,residential,11.54,cents per kilowatt-hour
1009,2023-12,Arkansas,transportation,15.18,cents per kilowatt-hour
1012,2023-12,California,industrial,17.99,cents per kilowatt-hour
1014,2023-12,California,residential,29.12,cents per kilowatt-hour
1015,2023-12,California,transportation,13.09,cents per kilowatt-hour
1018,2023-12,Colorado,industrial,8.17,cents per kilowatt-hour
1020,2023-12,Colorado,residential,14.18,cents per kilowatt-hour
1021,2023-12,Colorado,transportation,12.39,cents per kilowatt-hour
1024,2023-12,Connecticut,industrial,16.28,cents per kilowatt-hour
1026,2023-12,Connecticut,residential,26.89,cents per kilowatt-hour
1027,2023-12,Connecticut,transportation,19.57,cents per kilowatt-hour
1030,2023-12,Delaware,industrial,7.52,cents per kilowatt-hour
1032,2023-12,Delaware,residential,16.3,cents per kilowatt-hour
1033,2023-12,Delaware,transportation,0.0,cents per kilowatt-hour
1036,2023-12,District of Columbia,industrial,10.93,cents per kilowatt-hour
1038,2023-12,District of Columbia,residential,17.82,cents per kilowatt-hour
1039,2023-12,District of Columbia,transportation,10.57,cents per kilowatt-hour
1042,2023-12,Florida,industrial,9.08,cents per kilowatt-hour
1044,2023-12,Florida,residential,15.2,cents per kilowatt-hour
1045,2023-12,Florida,transportation,11.31,cents per kilowatt-hour
1048,2023-12,Georgia,industrial,6.23,cents per kilowatt-hour
1050,2023-12,Georgia,residential,12.72,cents per kilowatt-hour
1051,2023-12,Georgia,transportation,6.2,cents per kilowatt-hour
1054,2023-12,Hawaii,industrial,35.4,cents per kilowatt-hour
1056,2023-12,Hawaii,residential,41.6,cents per kilowatt-hour
1057,2023-03,Texas,transportation,7.28,cents per kilowatt-hour
1060,2023-03,Utah,industrial,6.99,cents per kilowatt-hour
1062,2023-03,Utah,residential,10.86,cents per kilowatt-hour
1063,2023-03,Utah,transportation,12.21,cents per kilowatt-hour
1066,2023-03,Vermont,industrial,11.39,cents per kilowatt-hour
1068,2023-03,Vermont,residential,20.38,cents per kilowatt-hour
1069,2023-03,Vermont,transportation,0.0,cents per kilowatt-hour
1072,2023-03,Virginia,industrial,9.09,cents per kilowatt-hour
1074,2023-03,Virginia,residential,14.67,cents per kilowatt-hour
1075,2023-03,Virginia,transportation,11.06,cents per kilowatt-hour
1078,2023-03,Washington,industrial,6.4,cents per kilowatt-hour
1080,2023-03,Washington,residential,10.79,cents per kilowatt-hour
1081,2023-03,Washington,transportation,10.65,cents per kilowatt-hour
1084,2023-03,West Virginia,industrial,7.01,cents per kilowatt-hour
1086,2023-03,West Virginia,residential,14.23,cents per kilowatt-hour
1087,2023-03,West Virginia,transportation,0.0,cents per kilowatt-hour
1090,2023-03,Wisconsin,industrial,8.26,cents per kilowatt-hour
1092,2023-03,Wisconsin,residential,16.47,cents per kilowatt-hour
1093,2023-03,Wisconsin,transportation,16.2,cents per kilowatt-hour
1096,2023-03,Wyoming,industrial,6.99,cents per kilowatt-hour
1098,2023-03,Wyoming,residential,10.68,cents per kilowatt-hour
1099,2023-03,Wyoming,transportation,0.0,cents per kilowatt-hour
1102,2023-03,New England,industrial,16.05,cents per kilowatt-hour
1104,2023-03,New England,residential,31.25,cents per kilowatt-hour
1105,2023-03,New England,transportation,14.92,cents per kilowatt-hour
1108,2023-03,Middle Atlantic,industrial,7.88,cents per kilowatt-hour
1110,2023-03,Middle Atlantic,residential,19.09,cents per kilowatt-hour
1111,2023-03,Middle Atlantic,transportation,13.57,cents per kilowatt-hour
1114,2023-03,East North Central,industrial,8.08,cents per kilowatt-hour
1116,2023-03,East North Central,residential,16.45,cents per kilowatt-hour
1117,2023-03,East North Central,transportation,7.33,cents per kilowatt-hour
1118,2023-10,Nebraska,industrial,7.08,cents per kilowatt-hour
1120,2023-10,Nebraska,residential,11.67,cents per kilowatt-hour
1121,2023-10,Nebraska,transportation,0.0,cents per kilowatt-hour
1124,2023-10,Nevada,industrial,8.04,cents per kilowatt-hour
1126,2023-10,Nevada,residential,14.63,cents per kilowatt-hour
1127,2023-10,Nevada,transportation,12.48,cents per kilowatt-hour
1130,2023-10,New Hampshire,industrial,15.28,cents per kilowatt-hour
1132,2023-10,New Hampshire,residential,25.49,cents per kilowatt-hour
1133,2023-10,New Hampshire,transportation,0.0,cents per kilowatt-hour
1136,2023-10,New Jersey,industrial,11.08,cents per kilowatt-hour
1138,2023-10,New Jersey,residential,17.46,cents per kilowatt-hour
1139,2023-10,New Jersey,transportation,11.2,cents per kilowatt-hour
1142,2023-10,New Mexico,industrial,5.97,cents per kilowatt-hour
1144,2023-10,New Mexico,residential,14.12,cents per kilowatt-hour
1145,2023-10,New Mexico,transportation,0.0,cents per kilowatt-hour
1148,2023-10,New York,industrial,6.54,cents per kilowatt-hour
1150,2023-10,New York,residential,21.99,cents per kilowatt-hour
1151,2023-10,New York,transportation,15.26,cents per kilowatt-hour
1154,2023-10,North Carolina,industrial,7.37,cents per kilowatt-hour
1156,2023-10,North Carolina,residential,14.4,cents per kilowatt-hour
1157,2023-10,North Carolina,transportation,10.14,cents per kilowatt-hour
1160,2023-10,North Dakota,industrial,7.2,cents per kilowatt-hour
1162,2023-10,North Dakota,residential,11.71,cents per kilowatt-hour
1163,2023-10,North Dakota,transportation,0.0,cents per kilowatt-hour
1168,2023-05,Alabama,industrial,7.11,cents per kilowatt-hour
1170,2023-05,Alabama,residential,14.55,cents per kilowatt-hour
1171,2023-05,Alabama,transportation,0.0,cents per kilowatt-hour
1174,2023-05,Alaska,industrial,20.29,cents per kilowatt-hour
1176,2023-05,Alaska,residential,24.91,cents per kilowatt-hour
1177,2023-05,Alaska,transportation,0.0,cents per kilowatt-hour
1179,2023-02,District of Columbia,industrial,10.95,cents per kilowatt-hour
1181,2023-02,District of Columbia,residential,15.7,cents per kilowatt-hour
1182,2023-02,District of Columbia,transportation,10.47,cents per kilowatt-hour
1185,2023-02,Florida,industrial,10.26,cents per kilowatt-hour
1187,2023-02,Florida,residential,15.82,cents per kilowatt-hour
1188,2023-02,Florida,transportation,10.35,cents per kilowatt-hour
1191,2023-02,Georgia,industrial,6.75,cents per kilowatt-hour
1193,2023-02,Georgia,residential,13.53,cents per kilowatt-hour
1196,2023-05,South Carolina,industrial,6.57,cents per kilowatt-hour
1198,2023-05,South Carolina,residential,13.98,cents per kilowatt-hour
1199,2023-05,South Carolina,transportation,0.0,cents per kilowatt-hour
1202,2023-05,South Dakota,industrial,8.14,cents per kilowatt-hour
1204,2023-05,South Dakota,residential,13.18,cents per kilowatt-hour
1205,2023-05,South Dakota,transportation,0.0,cents per kilowatt-hour
1208,2023-05,Tennessee,industrial,5.96,cents per kilowatt-hour
1212,2023-03,West North Central,industrial,7.38,cents per kilowatt-hour
1214,2023-03,West North Central,residential,12.12,cents per kilowatt-hour
1215,2023-03,West North Central,transportation,10.31,cents per kilowatt-hour
1218,2023-03,South Atlantic,industrial,7.28,cents per kilowatt-hour
1220,2023-03,South Atlantic,residential,14.2,cents per kilowatt-hour
1221,2023-03,South Atlantic,transportation,10.11,cents per kilowatt-hour
1224,2023-03,East South Central,industrial,6.56,cents per kilowatt-hour
1226,2023-03,East South Central,residential,13.17,cents per kilowatt-hour
1227,2023-03,East South Central,transportation,0.0,cents per kilowatt-hour
1230,2023-03,West South Central,industrial,6.23,cents per kilowatt-hour
1232,2023-03,West South Central,residential,13.75,cents per kilowatt-hour
1233,2023-03,West South Central,transportation,7.51,cents per kilowatt-hour
1236,2023-07,Maryland,industrial,9.84,cents per kilowatt-hour
1238,2023-07,Maryland,residential,16.02,cents per kilowatt-hour
1239,2023-07,Maryland,transportation,11.1,cents per kilowatt-hour
1242,2023-07,Massachusetts,industrial,17.94,cents per kilowatt-hour
1244,2023-07,Massachusetts,residential,27.43,cents per kilowatt-hour
1245,2023-07,Massachusetts,transportation,6.62,cents per kilowatt-hour
1248,2023-07,Michigan,industrial,8.2,cents per kilowatt-hour
1250,2023-07,Michigan,residential,19.43,cents per kilowatt-hour
1251,2023-07,Michigan,transportation,14.05,cents per kilowatt-hour
1254,2023-07,Minnesota,industrial,9.5,cents per kilowatt-hour
1256,2023-07,Minnesota,residential,15.6,cents per kilowatt-hour
1257,2023-07,Minnesota,transportation,13.49,cents per kilowatt-hour
1260,2023-07,Mississippi,industrial,6.78,cents per kilowatt-hour
1262,2023-07,Mississippi,residential,12.82,cents per kilowatt-hour
1263,2023-07,Mississippi,transportation,0.0,cents per kilowatt-hour
1266,2023-10,Ohio,industrial,7.02,cents per kilowatt-hour
1268,2023-10,Ohio,residential,15.89,cents per kilowatt-hour
1269,2023-10,Ohio,transportation,6.72,cents per kilowatt-hour
1272,2023-11,West Virginia,industrial,7.63,cents per kilowatt-hour
1274,2023-11,West Virginia,residential,14.42,cents per kilowatt-hour
1275,2023-11,West Virginia,transportation,0.0,cents per kilowatt-hour
1278,2023-11,Wisconsin,industrial,8.45,cents per kilowatt-hour
1280,2023-11,Wisconsin,residential,16.85,cents per kilowatt-hour
1281,2023-11,Wisconsin,transportation,15.74,cents per kilowatt-hour
1284,2023-11,Wyoming,industrial,7.22,cents per kilowatt-hour
1286,2023-11,Wyoming,residential,11.59,cents per kilowatt-hour
1287,2023-11,Wyoming,transportation,0.0,cents per kilowatt-hour
1290,2023-11,New England,industrial,15.75,cents per kilowatt-hour
1292,2023-11,New England,residential,27.47,cents per kilowatt-hour
1293,2023-11,New England,transportation,10.68,cents per kilowatt-hour
1296,2023-11,Middle Atlantic,industrial,7.78,cents per kilowatt-hour
1298,2023-11,Middle Atlantic,residential,19.76,cents per kilowatt-hour
1299,2023-02,Georgia,transportation,5.92,cents per kilowatt-hour
1302,2023-02,Hawaii,industrial,38.13,cents per kilowatt-hour
1304,2023-02,Hawaii,residential,44.24,cents per kilowatt-hour
1305,2023-02,Hawaii,transportation,0.0,cents per kilowatt-hour
1308,2023-02,Idaho,industrial,6.01,cents per kilowatt-hour
1310,2023-02,Idaho,residential,10.19,cents per kilowatt-hour
1311,2023-02,Idaho,transportation,0.0,cents per kilowatt-hour
1313,2023-08,West North Central,residential,14.21,cents per kilowatt-hour
1314,2023-08,West North Central,transportation,12.64,cents per kilowatt-hour
1317,2023-08,South Atlantic,industrial,8.04,cents per kilowatt-hour
1319,2023-08,South Atlantic,residential,14.28,cents per kilowatt-hour
1320,2023-08,South Atlantic,transportation,10.53,cents per kilowatt-hour
1323,2023-08,East South Central,industrial,6.9,cents per kilowatt-hour
1325,2023-08,East South Central,residential,12.79,cents per kilowatt-hour
1326,2023-08,East South Central,transportation,0.0,cents per kilowatt-hour
1329,2023-08,West South Central,industrial,8.26,cents per kilowatt-hour
1331,2023-08,West South Central,residential,13.56,cents per kilowatt-hour
1332,2023-08,West South Central,transportation,7.01,cents per kilowatt-hour
1335,2023-08,Mountain,industrial,8.68,cents per kilowatt-hour
1337,2023-08,Mountain,residential,13.92,cents per kilowatt-hour
1338,2023-08,Mountain,transportation,13.11,cents per kilowatt-hour
1341,2023-08,Pacific Contiguous,industrial,15.58,cents per kilowatt-hour
1343,2023-08,Pacific Contiguous,residential,24.22,cents per kilowatt-hour
1344,2023-08,Pacific Contiguous,transportation,13.51,cents per kilowatt-hour
1347,2023-08,Pacific Noncontiguous,industrial,27.85,cents per kilowatt-hour
1349,2023-08,Pacific Noncontiguous,residential,34.22,cents per kilowatt-hour
1350,2023-08,Pacific Noncontiguous,transportation,0.0,cents per kilowatt-hour
1353,2023-08,U.S. Total,industrial,8.9,cents per kilowatt-hour
1355,2023-08,U.S. Total,residential,15.91,cents per kilowatt-hour
1356,2023-10,Arkansas,industrial,6.93,cents per kilowatt-hour
1358,2023-10,Arkansas,residential,12.73,cents per kilowatt-hour
1359,2023-10,Arkansas,transportation,13.2,cents per kilowatt-hour
1362,2023-10,California,industrial,20.15,cents per kilowatt-hour
1364,2023-10,California,residential,31.78,cents per kilowatt-hour
1365,2023-10,California,transportation,14.92,cents per kilowatt-hour
1369,2023-02,Kentucky,industrial,7.19,cents per kilowatt-hour
1371,2023-09,Rhode Island,transportation,17.44,cents per kilowatt-hour
1374,2023-09,South Carolina,industrial,6.94,cents per kilowatt-hour
1376,2023-09,South Carolina,residential,14.04,cents per kilowatt-hour
1377,2023-09,South Carolina,transportation,0.0,cents per kilowatt-hour
1380,2023-09,South Dakota,industrial,8.18,cents per kilowatt-hour
1382,2023-09,South Dakota,residential,13.24,cents per kilowatt-hour
1383,2023-09,South Dakota,transportation,0.0,cents per kilowatt-hour
1386,2023-09,Tennessee,industrial,6.18,cents per kilowatt-hour
1388,2023-09,Tennessee,residential,11.78,cents per kilowatt-hour
1389,2023-09,Tennessee,transportation,0.0,cents per kilowatt-hour
1392,2023-09,Texas,industrial,7.69,cents per kilowatt-hour
1394,2023-09,Texas,residential,14.68,cents per kilowatt-hour
1395,2023-09,Texas,transportation,7.49,cents per kilowatt-hour
1398,2023-09,Utah,industrial,7.1,cents per kilowatt-hour
1400,2023-09,Utah,residential,11.85,cents per kilowatt-hour
1401,2023-09,Utah,transportation,12.33,cents per kilowatt-hour
1404,2023-09,Vermont,industrial,11.39,cents per kilowatt-hour
1406,2023-09,Vermont,residential,21.21,cents per kilowatt-hour
1407,2023-09,Vermont,transportation,0.0,cents per kilowatt-hour
1410,2023-09,Virginia,industrial,9.12,cents per kilowatt-hour
1412,2023-09,Virginia,residential,14.69,cents per kilowatt-hour
1413,2023-09,Virginia,transportation,9.02,cents per kilowatt-hour
1416,2023-09,Washington,industrial,6.4,cents per kilowatt-hour
1418,2023-09,Washington,residential,11.38,cents per kilowatt-hour
1421,2023-01,Tennessee,industrial,6.6,cents per kilowatt-hour
1423,2023-01,Tennessee,residential,12.04,cents per kilowatt-hour
1424,2023-01,Tennessee,transportation,0.0,cents per kilowatt-hour
1427,2023-01,Texas,industrial,6.48,cents per kilowatt-hour
1429,2023-01,Texas,residential,14.36,cents per kilowatt-hour
1430,2023-01,Texas,transportation,7.09,cents per kilowatt-hour
1433,2023-01,Utah,industrial,7.41,cents per kilowatt-hour
1435,2023-01,Utah,residential,10.65,cents per kilowatt-hour
1436,2023-01,Utah,transportation,12.41,cents per kilowatt-hour
1439,2023-01,Vermont,industrial,11.99,cents per kilowatt-hour
1441,2023-01,Vermont,residential,19.96,cents per kilowatt-hour
1442,2023-01,Vermont,transportation,0.0,cents per kilowatt-hour
1445,2023-01,Virginia,industrial,9.4,cents per kilowatt-hour
1447,2023-01,Virginia,residential,13.96,cents per kilowatt-hour
1448,2023-01,Virginia,transportation,12.21,cents per kilowatt-hour
1451,2023-01,Washington,industrial,6.36,cents per kilowatt-hour
1453,2023-01,Washington,residential,10.49,cents per kilowatt-hour
1454,2023-01,Washington,transportation,10.06,cents per kilowatt-hour
1457,2023-08,New England,industrial,15.7,cents per kilowatt-hour
1459,2023-08,New England,residential,27.11,cents per kilowatt-hour
1460,2023-08,New England,transportation,13.43,cents per kilowatt-hour
1463,2023-08,Middle Atlantic,industrial,7.89,cents per kilowatt-hour
1465,2023-08,Middle Atlantic,residential,19.74,cents per kilowatt-hour
1466,2023-08,Middle Atlantic,transportation,15.18,cents per kilowatt-hour
1469,2023-08,East North Central,industrial,8.04,cents per kilowatt-hour
1471,2023-08,East North Central,residential,15.72,cents per kilowatt-hour
1472,2023-08,East North Central,transportation,6.79,cents per kilowatt-hour
1475,2023-08,West North Central,industrial,8.62,cents per kilowatt-hour
1477,2023-02,Utah,industrial,7.01,cents per kilowatt-hour
1479,2023-02,Utah,residential,10.79,cents per kilowatt-hour
1480,2023-02,Utah,transportation,12.41,cents per kilowatt-hour
1483,2023-02,Vermont,industrial,11.23,cents per kilowatt-hour
1485,2023-02,Vermont,residential,20.28,cents per kilowatt-hour
1486,2023-02,Vermont,transportation,0.0,cents per kilowatt-hour
1489,2023-02,Virginia,industrial,8.83,cents per kilowatt-hour
1491,2023-02,Virginia,residential,14.32,cents per kilowatt-hour
1492,2023-02,Virginia,transportation,11.32,cents per kilowatt-hour
1495,2023-08,U.S. Total,transportation,13.26,cents per kilowatt-hour
1498,2023-09,Alabama,industrial,6.99,cents per kilowatt-hour
1500,2023-09,Alabama,residential,14.89,cents per kilowatt-hour
1501,2023-09,Alabama,transportation,0.0,cents per kilowatt-hour
1503,2023-03,District of Columbia,industrial,10.59,cents per kilowatt-hour
1505,2023-03,District of Columbia,residential,16.06,cents per kilowatt-hour
1506,2023-03,District of Columbia,transportation,10.76,cents per kilowatt-hour
1509,2023-03,Florida,industrial,9.81,cents per kilowatt-hour
1511,2023-03,Florida,residential,14.65,cents per kilowatt-hour
1512,2023-03,Florida,transportation,11.66,cents per kilowatt-hour
1515,2023-03,Georgia,industrial,6.0,cents per kilowatt-hour
1517,2023-03,Georgia,residential,13.49,cents per kilowatt-hour
1518,2023-03,Georgia,transportation,6.29,cents per kilowatt-hour
1521,2023-03,Hawaii,industrial,38.0,cents per kilowatt-hour
1523,2023-03,Hawaii,residential,44.06,cents per kilowatt-hour
1524,2023-03,Hawaii,transportation,0.0,cents per kilowatt-hour
1527,2023-03,Idaho,industrial,5.98,cents per kilowatt-hour
1529,2023-03,Idaho,residential,10.03,cents per kilowatt-hour
1530,2023-03,Idaho,transportation,0.0,cents per kilowatt-hour
1533,2023-03,Illinois,industrial,8.36,cents per kilowatt-hour
1535,2023-03,Illinois,residential,17.38,cents per kilowatt-hour
1536,2023-03,Illinois,transportation,6.87,cents per kilowatt-hour
1539,2023-03,Indiana,industrial,9.07,cents per kilowatt-hour
1541,2023-03,Indiana,residential,16.02,cents per kilowatt-hour
1542,2023-03,Indiana,transportation,13.1,cents per kilowatt-hour
1545,2023-03,Iowa,industrial,5.76,cents per kilowatt-hour
1547,2023-03,Iowa,residential,11.99,cents per kilowatt-hour
1548,2023-03,Iowa,transportation,0.0,cents per kilowatt-hour
1551,2023-03,Kansas,industrial,8.16,cents per kilowatt-hour
1553,2023-03,Kansas,residential,13.72,cents per kilowatt-hour
1554,2023-03,Kansas,transportation,0.0,cents per kilowatt-hour
1557,2023-03,Kentucky,industrial,6.43,cents per kilowatt-hour
1559,2023-03,Kentucky,residential,12.28,cents per kilowatt-hour
1560,2023-09,Washington,transportation,10.02,cents per kilowatt-hour
1563,2023-09,West Virginia,industrial,7.29,cents per kilowatt-hour
1565,2023-04,Arkansas,industrial,6.26,cents per kilowatt-hour
1567,2023-04,Arkansas,residential,12.36,cents per kilowatt-hour
1568,2023-04,Arkansas,transportation,15.83,cents per kilowatt-hour
1571,2023-04,California,industrial,15.81,cents per kilowatt-hour
1573,2023-04,California,residential,29.7,cents per kilowatt-hour
1574,2023-04,California,transportation,11.51,cents per kilowatt-hour
1577,2023-04,Colorado,industrial,8.17,cents per kilowatt-hour
1579,2023-04,Colorado,residential,13.53,cents per kilowatt-hour
1580,2023-04,Colorado,transportation,12.4,cents per kilowatt-hour
1583,2023-04,Connecticut,industrial,15.46,cents per kilowatt-hour
1585,2023-04,Connecticut,residential,34.48,cents per kilowatt-hour
1586,2023-04,Connecticut,transportation,17.33,cents per kilowatt-hour
1589,2023-04,Delaware,industrial,7.7,cents per kilowatt-hour
1591,2023-04,Delaware,residential,15.47,cents per kilowatt-hour
1592,2023-04,Delaware,transportation,0.0,cents per kilowatt-hour
1595,2023-04,District of Columbia,industrial,11.16,cents per kilowatt-hour
1597,2023-04,District of Columbia,residential,15.3,cents per kilowatt-hour
1598,2023-04,District of Columbia,transportation,9.86,cents per kilowatt-hour
1601,2023-04,Florida,industrial,9.29,cents per kilowatt-hour
1603,2023-04,Florida,residential,15.72,cents per kilowatt-hour
1604,2023-04,Florida,transportation,12.24,cents per kilowatt-hour
1607,2023-04,Georgia,industrial,6.28,cents per kilowatt-hour
1609,2023-04,Georgia,residential,13.25,cents per kilowatt-hour
1610,2023-04,Georgia,transportation,5.82,cents per kilowatt-hour
1613,2023-04,Hawaii,industrial,36.66,cents per kilowatt-hour
1615,2023-04,Hawaii,residential,43.18,cents per kilowatt-hour
1616,2023-04,Hawaii,transportation,0.0,cents per kilowatt-hour
1619,2023-04,Idaho,industrial,6.36,cents per kilowatt-hour
1621,2023-04,Idaho,residential,10.18,cents per kilowatt-hour
1622,2023-03,Kentucky,transportation,0.0,cents per kilowatt-hour
1625,2023-03,Louisiana,industrial,6.35,cents per kilowatt-hour
1627,2023-03,Louisiana,residential,11.87,cents per kilowatt-hour
1628,2023-03,Louisiana,transportation,11.09,cents per kilowatt-hour
1631,2023-03,Maine,industrial,12.61,cents per kilowatt-hour
1633,2023-03,Maine,residential,29.37,cents per kilowatt-hour
1634,2023-03,Maine,transportation,0.0,cents per kilowatt-hour
1637,2023-03,Maryland,industrial,9.54,cents per kilowatt-hour
1639,2023-03,Maryland,residential,15.85,cents per kilowatt-hour
1640,2023-03,Maryland,transportation,10.36,cents per kilowatt-hour
1643,2023-03,Massachusetts,industrial,18.14,cents per kilowatt-hour
1645,2023-03,Massachusetts,residential,32.72,cents per kilowatt-hour
1646,2023-03,Massachusetts,transportation,7.27,cents per kilowatt-hour
1649,2023-03,Michigan,industrial,8.03,cents per kilowatt-hour
1651,2023-03,Michigan,residential,18.23,cents per kilowatt-hour
1652,2023-03,Michigan,transportation,13.64,cents per kilowatt-hour
1655,2023-03,Minnesota,industrial,9.09,cents per kilowatt-hour
1657,2023-03,Minnesota,residential,13.94,cents per kilowatt-hour
1658,2023-03,Minnesota,transportation,12.48,cents per kilowatt-hour
1661,2023-03,Mississippi,industrial,7.07,cents per kilowatt-hour
1663,2023-03,Mississippi,residential,13.8,cents per kilowatt-hour
1664,2023-03,Mississippi,transportation,0.0,cents per kilowatt-hour
1667,2023-03,Missouri,industrial,7.55,cents per kilowatt-hour
1669,2023-03,Missouri,residential,11.46,cents per kilowatt-hour
1670,2023-03,Missouri,transportation,8.22,cents per kilowatt-hour
1673,2023-03,Montana,industrial,8.33,cents per kilowatt-hour
1675,2023-03,Montana,residential,12.13,cents per kilowatt-hour
1676,2023-03,Montana,transportation,0.0,cents per kilowatt-hour
1678,2023-05,New York,industrial,6.87,cents per kilowatt-hour
1680,2023-05,New York,residential,20.47,cents per kilowatt-hour
1681,2023-05,New York,transportation,15.18,cents per kilowatt-hour
1684,2023-05,North Carolina,industrial,6.45,cents per kilowatt-hour
1686,2023-06,Nebraska,residential,11.98,cents per kilowatt-hour
1687,2023-06,Nebraska,transportation,0.0,cents per kilowatt-hour
1690,2023-06,Nevada,industrial,11.92,cents per kilowatt-hour
1692,2023-06,Nevada,residential,17.38,cents per kilowatt-hour
1693,2023-06,Nevada,transportation,13.16,cents per kilowatt-hour
1696,2023-06,New Hampshire,industrial,14.77,cents per kilowatt-hour
1698,2023-06,New Hampshire,residential,29.53,cents per kilowatt-hour
1699,2023-06,New Hampshire,transportation,0.0,cents per kilowatt-hour
1702,2023-06,New Jersey,industrial,13.13,cents per kilowatt-hour
1704,2023-06,New Jersey,residential,18.19,cents per kilowatt-hour
1705,2023-06,New Jersey,transportation,12.33,cents per kilowatt-hour
